sample,sample_index,log_likelihood,metadata_T_c_MeV,metadata_mu_c_MeV,Lambda_MeV,kappa2,gamma,b2,b4,b6,c1,c2,c3,d1,d2,posterior_weight,represented_draws,selection_pca_dimensions
sample1048,1048,27.80499750251098,104.97175443989902,585.0742175178552,1155.0186282076777,11.389913342650875,0.5913363397969206,0.3008261618876248,-0.04075311476095923,0.00024782418196716785,-0.04211009777552208,0.222491183988035,0.03291471771710781,1.7164943701213176,5546.444913670244,0.027061044682190057,43,6
sample1073,1073,27.91760233756135,103.72438774293437,607.9786002442522,1126.3142173168758,11.269139878363976,0.5879170511667275,0.36888001393506975,-0.044513677410971474,0.0004902472616847198,-0.13338444153528498,0.28000162859122046,0.022907531932382433,1.7338750771107172,1326.5562684733386,0.04090623033354311,65,6
sample1116,1116,26.17510949389829,103.43707931702826,598.3146482635401,1123.085519936126,11.302907392560028,0.5837664074332389,0.32277613724792903,-0.04870927392590736,0.0006745059861412094,-0.05338941275122354,0.20599407576263454,0.03864039194874918,1.727040092820686,8978.78086879616,0.03587161736941473,57,6
sample1126,1126,27.724673422846067,105.35223251939858,582.4779020884255,1127.469028179745,11.377167650314668,0.6263198567924819,0.5823023855483466,-0.02969795748231167,0.001108746558722333,0.016241574241989052,0.15604432415968472,0.05470832004725221,1.716839620439396,892.5328724422915,0.06670862177470108,106,6
sample1157,1157,25.031451598987815,105.22774858911708,582.9606218824487,1158.4198513605686,11.439058424518954,0.602523564582031,0.35546827826296795,-0.03796990698607763,0.0006043954608675919,0.022901381900357745,0.17000171116079926,0.048571617721118496,1.7088584021630797,1602.070342277958,0.04216488357457521,67,6
sample1161,1161,28.155318452227405,103.45872391163917,599.842121410407,1138.5836101650393,11.367970589623663,0.6169628655292516,0.5106204032311055,-0.03194282703182961,0.0009038507821871032,-0.04449474367295096,0.21539973945468188,0.03927271038006047,1.7186375625985273,5221.661714176115,0.03524229074889868,56,6
sample1229,1229,26.363583470124325,105.62242859530068,580.7186737279463,1137.7194774695467,11.348939691217746,0.6024216585657216,0.39935960328801023,-0.03892082612439929,0.0006674803642806318,-0.016096730906972303,0.18201487504537933,0.04731742274629163,1.7255593249322052,305.2657732528307,0.04090623033354311,65,6
sample1238,1238,22.62043085295781,104.87991481895284,580.0832255673103,1160.4343540034417,11.293805509842445,0.6094054974193097,0.4568540685954767,-0.03196271449558242,0.0006894561444158863,-0.08198946235303725,0.21134349616546566,0.04329333211883729,1.7327818815985547,4676.373861940716,0.030837004405286344,49,6
sample1259,1259,27.19139168132353,101.41011450785511,622.718063438767,1086.6980629663017,11.306208096655451,0.5893463982584857,0.39775512178073363,-0.05308805173931226,0.0010402956925047633,-0.0248367093089278,0.2033428892560817,0.036008833066546675,1.7263895442415078,1665.0738662116762,0.02957835116425425,47,6
sample1407,1407,28.69415719320405,104.54434743014221,579.4707788272465,1143.5894608127269,11.422581859760802,0.5783447174465247,0.21097335030344735,-0.051227225551670016,0.0008586792483499618,0.03831512214327221,0.11781569173526517,0.06460551093884365,1.7077807632496058,2547.740865318504,0.051604782882315924,82,6
sample1596,1596,27.79367171128908,104.97227953607077,575.8790736837586,1159.8470407744974,11.466001721797074,0.6192124193739886,0.474349290586871,-0.033532920394534586,0.0013711181722232066,0.06696957454791728,0.08887218054790859,0.07621392743558596,1.7025052716477564,1322.570681333403,0.040276903713027064,64,6
sample1598,1598,24.442428435008132,104.88921881263906,583.0596102901252,1181.541942173378,11.413211971265017,0.6131265827180041,0.43232545939582556,-0.029294200405954655,0.000565756139955295,-0.07335855803403862,0.22994090211088772,0.03755005098668856,1.7141592149512224,621.135286044961,0.028319697923222153,45,6
