D_B_hat,D_eta_hat,T_MeV,accepted_by_residual,c_s,charge_fraction,horizon_gauge_defect,linear_residual,mode,mu_MeV,omega_hat_imag,omega_hat_real,omega_numeric_imag,omega_numeric_real,optimizer_success,phi0,primitive_constraint_maximum,qhat,sector,sigma_Q_over_T,source_determinant_abs,source_singular_value,trajectory,zeta_over_eta
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,6.469524933885865e-19,6.778940467911395e-18,sound,0.0,-0.0009396549407035597,0.02666926447029503,-0.00046982747035177985,0.013334632235147515,True,1.0,8.999916449677962e-06,0.05,helicity0,0.04674764695838896,7.292292621939035e-15,1.0575949334290576e-14,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,2.8658535969622865e-18,6.655502468238108e-18,diffusion,0.0,-0.002501013823940396,7.019248453318289e-21,-0.001250506911970198,3.5096242266591445e-21,True,1.0,2.5571203382798917e-11,0.05,helicity0,0.04674764695838896,2.6550714873818223e-18,1.14332676090031e-16,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,5.2830535869153463e-17,1.575898874804503e-17,shear,0.0,-0.0018009446866836698,-1.0001266971145683e-31,-0.0009004723433418349,-5.000633485572842e-32,True,1.0,2.1907462523773698e-09,0.06,helicity1,0.04674764695838896,6.369688086064375e-17,6.327894382745547e-17,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,2.3927665601448445e-18,7.552953315536034e-18,sound,0.0,-0.0013529908488681482,0.03201418464070487,-0.0006764954244340741,0.016007092320352436,True,1.0,8.958955687969576e-06,0.06,helicity0,0.04674764695838896,1.2800314434517768e-14,2.080852487926382e-14,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,4.716706938417333e-18,7.615330608836421e-18,diffusion,0.0,-0.0036040807505225325,-1.926429347875773e-18,-0.0018020403752612663,-9.632146739378864e-19,True,1.0,2.714023678436279e-11,0.06,helicity0,0.04674764695838896,2.1781114979070986e-18,9.276010564686599e-17,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,2.1936123461270206e-16,1.6186251067034626e-17,shear,0.0,-0.003202987336162759,1.3252830323341186e-29,-0.0016014936680813796,6.626415161670593e-30,True,1.0,2.4449766086192626e-09,0.08,helicity1,0.04674764695838896,6.3546625146454e-17,6.282562278234226e-17,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,1.2865371201635647e-18,7.122803496724099e-18,sound,0.0,-0.0024048086320549657,0.042723152581186044,-0.0012024043160274828,0.021361576290593022,True,1.0,8.846414629216406e-06,0.08,helicity0,0.04674764695838896,6.604636098061604e-15,1.3510388316480876e-14,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,2.0147823619064676e-18,9.09141442234182e-18,diffusion,0.0,-0.006419164714407775,-1.1764130529913037e-18,-0.0032095823572038874,-5.882065264956519e-19,True,1.0,2.9030288971661837e-11,0.08,helicity0,0.04674764695838896,2.047137155220822e-18,8.517747224029052e-17,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,8.294396823793991e-17,1.6112861657543072e-17,shear,0.0,-0.005007298515297134,-1.241285660352261e-28,-0.002503649257648567,-6.206428301761305e-29,True,1.0,2.7721155232691526e-09,0.1,helicity1,0.04674764695838896,1.389337807111068e-16,1.365591167881651e-16,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,4.517651874256739e-18,7.435701818310308e-18,sound,0.0,-0.0037564907414933584,0.05346435616250606,-0.0018782453707466792,0.02673217808125303,True,1.0,8.695734572488087e-06,0.1,helicity0,0.04674764695838896,5.993882806060656e-15,1.5212976036738385e-14,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,2.2527045544563564e-18,6.588361111862252e-18,diffusion,0.0,-0.010054037837342824,-1.196193228079562e-18,-0.005027018918671412,-5.98096614039781e-19,True,1.0,2.96566093456046e-11,0.1,helicity0,0.04674764695838896,2.937879594742259e-18,1.1843652348915118e-16,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,2.0493478085621384e-16,1.8118554914065928e-17,shear,0.0,-0.007215147431815807,-9.030799870064936e-28,-0.0036075737159079035,-4.515399935032468e-28,True,1.0,3.172406360185276e-09,0.12,helicity1,0.04674764695838896,6.559029882418082e-17,6.404878245876307e-17,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,1.2203973301106155e-18,7.542575249460401e-18,sound,0.0,-0.005407543631123823,0.0642458922740053,-0.0027037718155619116,0.03212294613700265,True,1.0,8.514122339264883e-06,0.12,helicity0,0.04674764695838896,3.922959678897748e-15,1.1937169976857414e-14,neutral,0.17039656393590866
0.9987573542124468,0.5,282.76821760404636,True,0.5329658666217832,0.0,1.0391250224505352e-18,6.2509123433873756e-18,diffusion,0.0,-0.01452058927345982,-2.3844113241347476e-17,-0.00726029463672991,-1.1922056620673738e-17,True,1.0,2.960743402850895e-11,0.12,helicity0,0.04674764695838896,9.126266311029975e-18,3.554935399264584e-16,neutral,0.17039656393590866
0.7369391771262063,0.45811984734485856,174.2448640957075,True,0.44858536851819475,0.1869733791,4.523129482586325e-16,1.6672792496950403e-17,shear,348.48972248617156,-0.00018325586763899167,-2.5929147254491733e-30,-9.162793381949583e-05,-1.2964573627245866e-30,True,2.0,7.975054725857378e-10,0.02,helicity1,0.02155923860220367,5.852261943603409e-17,5.0520267659324413e-17,charged,0.37870467451838613
0.7369391771262063,0.45811984734485856,174.2448640957075,True,0.44858536851819475,0.1869733791,4.0096396867499903e-19,6.985291444214388e-18,sound,348.48972248617156,-0.0001568763336770908,0.008972672768900214,-7.84381668385454e-05,0.004486336384450107,True,2.0,6.996174952942903e-06,0.02,helicity0,0.02155923860220367,4.8169028790175945e-14,7.238717894188019e-14,charged,0.37870467451838613
0.7369391771262063,0.45811984734485856,174.2448640957075,True,0.44858536851819475,0.1869733791,2.753965337537397e-19,7.448474222132757e-18,diffusion,348.48972248617156,-0.00029479004740971,1.0165893824493307e-17,-0.000147395023704855,5.082946912246653e-18,True,2.0,2.4292912477255874e-06,0.02,helicity0,0.02155923860220367,1.7326799858470874e-16,5.008588921960642e-15,charged,0.37870467451838613
0.7369391771262063,0.45811984734485856,174.2448640957075,True,0.44858536851819475,0.1869733791,1.311666088359761e-16,1.7718089411229127e-17,shear,348.48972248617156,-0.0004123480035932355,-7.61517302276808e-29,-0.00020617400179661775,-3.80758651138404e-29,True,2.0,8.133733968228685e-10,0.03,helicity1,0.02155923860220367,1.9023530367965952e-17,5.061182566744673e-17,charged,0.37870467451838613
0.7369391771262063,0.45811984734485856,174.2448640957075,True,0.44858536851819475,0.1869733791,5.388649838736501e-19,7.225976365996452e-18,sound,348.48972248617156,-0.00035297317372544654,0.013460832815997479,-0.00017648658686272327,0.006730416407998739,True,2.0,6.983790040625964e-06,0.03,helicity0,0.02155923860220367,3.862505412150232e-14,6.051819660539313e-14,charged,0.37870467451838613
0.7369391771262063,0.45811984734485856,174.2448640957075,True,0.44858536851819475,0.1869733791,3.2167957544118703e-19,6.78354899428468e-18,diffusion,348.48972248617156,-0.0006633180390685634,2.80072292118946e-16,-0.0003316590195342817,1.40036146059473e-16,True,2.0,2.4311360577493147e-06,0.03,helicity0,0.02155923860220367,1.3424760399298154e-15,3.876291432934861e-14,charged,0.37870467451838613
0.7369391771262063,0.45811984734485856,174.2448640957075,True,0.44858536851819475,0.1869733791,2.62393454401467e-16,1.6215587481993178e-17,shear,348.48972248617156,-0.000733118629025618,1.643760755100949e-28,-0.000366559314512809,8.218803775504745e-29,True,2.0,8.355949080640466e-10,0.04,helicity1,0.02155923860220367,4.767477732023744e-18,5.070246643643799e-17,charged,0.37870467451838613
