phi0,charge_fraction,Phi1,constraint,gauss_drift,A_slope,A_intercept,h0,phiA,Phi0,Phi2,T_MeV,mu_MeV,mu_over_T,s_over_T3,rho_over_T3,slope_identity_error,phiA_relative_spread
2.1413252524703053,0.0,0.0,9.025589357208553e-12,0.0,5.214238452568224,0.20044292223128657,0.03678055040250366,3.639542270810052,0.0,-0.0,174.4079330031838,0.0,0.0,7.734963777885095,0.0,3.4507952051399116e-12,1.6239729840864385e-06
2.4093097880146943,0.0,0.0,1.4205738806865225e-11,0.0,5.565190467150096,0.2520254083252291,0.03228791006910406,4.3434080960027845,0.0,-0.0,162.70428065230578,0.0,0.0,6.361958777320016,0.0,8.681944052568724e-13,1.5330122184150485e-06
2.7108322978617245,0.0,0.0,2.4208759441534898e-11,0.0,6.023189731012661,0.3169446379919979,0.02756429648505599,5.289282393951403,0.0,-0.0,151.5664460094221,0.0,0.0,5.0182387220905715,0.0,4.750533300068582e-12,1.4189356908390867e-06
3.050090023162044,0.0,0.0,4.4847129893678375e-11,0.0,6.6222692517298976,0.3988119902369481,0.022802703009652963,6.611919521885123,0.0,-0.0,140.60115064461488,0.0,0.0,3.7758127156041,0.0,1.5662360297596933e-11,1.3520860882863796e-06
3.431805485249227,0.0,0.0,9.055341364685622e-11,0.0,7.406809595816318,0.5022774641454929,0.01822794203611516,8.544546954436937,0.0,-0.0,129.3696802447677,0.0,0.0,2.698593106769861,0.0,3.897004940967008e-11,1.365566069395648e-06
3.861292223885612,0.0,0.0,1.9926950922334235e-10,0.0,8.433884543282602,0.6332757432521579,0.014058684900660597,11.508924243055302,0.0,-0.0,117.42394968496093,0.0,0.0,1.827881317704563,0.0,9.597700412200538e-11,1.3116536374178294e-06
4.344528762578371,0.0,0.0,4.770488715166698e-10,0.0,9.775887178009754,0.7992402075388871,0.010463756824519355,16.30845602700038,0.0,-0.0,104.3853125521188,0.0,0.0,1.1737143264121614,0.0,2.4047153157624734e-10,1.3178900291459538e-06
4.888241830574778,0.0,0.0,1.2395918247420812e-09,0.0,11.524220407873345,1.0091879182373278,0.007529686380843605,24.56801172817903,0.0,-0.0,90.07702470378479,0.0,0.0,0.7164671453905056,0.0,6.377146588576466e-10,1.3013228010082685e-06
5.5,0.0,0.0,3.4915437652216487e-09,0.0,13.796622135552557,1.273505292668408,0.005253569217337721,39.79870823097478,0.0,-0.0,74.6932557216259,0.0,0.0,0.41755398830138074,0.0,1.8101770082878943e-09,1.3309081241267505e-06
0.18,0.18,1.4572087314112425,9.862333172350044e-13,2.220446049250313e-16,3.877912999101826,0.0014741131879787734,0.06649727935112802,0.2550819429101677,0.187558008213014,-0.06913126883444327,981.3087952552321,2312.869704256847,2.356923442895755,18.80341641759761,0.8022865011718874,7.559952663882541e-12,1.7744156150442635e-05
0.20252680499720538,0.18,1.458140817693286,9.917755504517413e-13,4.440892098500626e-16,3.8799132062267696,0.0018659254036069918,0.0664287344945202,0.28706754178284744,0.18751250534470423,-0.0691389272625531,897.3689912789182,2114.5168915828503,2.3563516369885584,18.774350297228725,0.8015482972003315,7.353007092092412e-12,1.546188750991377e-05
0.22787281523542255,0.18,1.4593242475815842,9.96419445567683e-13,2.220446049250313e-16,3.8824466246863567,0.002361798874153868,0.06634206910508905,0.32308340728236984,0.1874516401474692,-0.06914847909878472,820.6841028006041,1933.1926250522015,2.355586782362587,18.737621713112546,0.8006131604067568,7.505995824885758e-12,1.3811005429777759e-05
0.2563908511963814,0.18,1.4608279938684188,1.003144234346109e-12,2.220446049250313e-16,3.8856558166500097,0.0029893239338275785,0.0662325295445317,0.36364571188874695,0.187371780342213,-0.06916033932516642,750.6388190382261,1767.4415784366663,2.3545832344525466,18.691233424336527,0.7994283348650357,7.6287864914093e-12,1.2317267248911493e-05
0.28847788846287237,0.18,1.4627407249011855,1.0112577151761472e-12,2.220446049250313e-16,3.889721716690167,0.003783378862292084,0.06609413707424305,0.4093405783819636,0.18726819635046443,-0.0691749767347888,686.6714988050426,1615.9313756562638,2.35328155962252,18.632681208164744,0.7979267753170837,7.366995902202689e-12,1.0689809178492028e-05
0.3245805836818096,0.18,1.4651769308812104,1.0225434861137378e-12,2.220446049250313e-16,3.894874117257957,0.004788039772919291,0.06591938522744545,0.4608353143109598,0.1871347525034171,-0.06919289091055489,628.2697192359476,1477.4419962152904,2.351604654784317,18.558833306207422,0.796023161583685,7.393863299398618e-12,9.487457334557495e-06
0.36520149209558317,0.18,1.4682852848032875,1.0365397429268337e-12,2.220446049250313e-16,3.9014051158741787,0.006058983054455203,0.0656988702828997,0.518892285583229,0.18696349140793433,-0.06921455759140531,574.966160754998,1350.8556978227361,2.3494525243866597,18.46578611850675,0.7936087162631738,7.400302592941443e-12,8.396999887903529e-06
0.4109060631907257,0.18,1.4722602625555548,1.0543026130364817e-12,4.440892098500626e-16,3.909686419796049,0.0076665035623131005,0.0654208448658701,0.5843864155341023,0.18674406713176497,-0.06924031602390054,526.334798579718,1235.147323108937,2.346695157610528,18.348694548934247,0.7905444059052096,7.319478356748732e-12,7.397954095568116e-06
0.46233051184443036,0.18,1.4773586400120224,1.0773248959591515e-12,2.220446049250313e-16,3.9201917104922344,0.009699301561204592,0.06507068641414508,0.658327794339701,0.186462958966616,-0.06927015178819498,481.987363952228,1129.3747881290694,2.3431626482245433,18.201577550249453,0.7866519205603923,7.552181102710165e-12,6.656412026557871e-06
0.5201906745365283,0.18,1.4839234887880055,1.1073097994085397e-12,4.440892098500626e-16,3.9335257024168,0.012269228427429236,0.06463027672806294,0.7418916933776016,0.1861023585930129,-0.0693032934263194,441.570021791588,1032.6694344885523,2.338631210286171,18.017103423374756,0.7817015427282178,7.296829807046379e-12,5.795972400334421e-06
0.5852919739068012,0.18,1.492420027324537,1.1476686267996844e-12,2.220446049250313e-16,3.9504621502922466,0.015517228370182953,0.06407729792835645,0.8364595605131759,0.18563855988946068,-0.06933747986425116,404.76021007622575,944.2258096340889,2.332802943886874,17.78636633378087,0.7753955825459395,7.255751555135248e-12,5.131862606956453e-06
0.6585406303658453,0.18,1.5034907443896524,1.1975767834929521e-12,2.220446049250313e-16,3.971993963000963,0.019620776427797304,0.06338446668216702,0.9436766836203692,0.18503957805296772,-0.06936764928580001,371.2635666160628,863.2902299919137,2.325275916138234,17.49867677241466,0.7673454070655029,7.425393633297972e-12,4.613591740684003e-06
0.7409562768268907,0.18,1.5180427165864718,1.2667239314809774e-12,4.440892098500626e-16,3.9993999205672943,0.024803200422375164,0.06251875670390762,1.0655356218541843,0.18426156530512286,-0.06938361833814598,340.810864945723,789.1472577340217,2.3154991196061196,17.141406236165743,0.7570391808533496,7.391642853349367e-12,4.09225283018904e-06
0.8336861521576391,0.18,1.53739012642666,1.3596945791505272e-12,2.220446049250313e-16,4.034334489393853,0.031345404059461186,0.06144070551157695,1.204500069776602,0.18324336424631796,-0.06936601881966457,313.1548745486184,721.1029909299076,2.302704027741244,16.699952632018945,0.7437963509109612,7.431388837630948e-12,3.660789093640022e-06
0.938021070927226,0.18,1.5634937843529217,1.4789236502110718e-12,2.220446049250313e-16,4.0789502006404135,0.0396007073000703,0.06010397480700524,1.363692767658973,0.18189828951330178,-0.06927928816270781,288.0670766009876,658.4641039840282,2.285801320142153,16.1579306218374,0.7267042339348049,7.136069513080656e-12,3.204941255738992e-06
