trajectory,path_index,parent_index,sector,mode,phi_H,charge_fraction,Phi1,T_MeV,mu_B_MeV,mu_B_over_T,s_over_T3,n_B_over_T3,s_over_n_B,branch_id,locally_stable,inside_spinodal,reduced_distance_to_CEP,Re_omega_hat,Im_omega_hat,shooting_source_residual,spectral_distance_hat,spectral_overlap_parent,spectral_pencil_residual
mu0,13,12,tensor,0,4.0,0.0,0.0,113.64940607335022,0.0,0.0,1.609765843444823,0.0,nan,stable_crossover,True,False,1.0045364945275086,1.5916020779197726,-0.6774864617475568,6.865844634002854e-10,6.984388709093633e-05,0.9999345503291135,5.518555717360899e-16
mu0,12,0,tensor,0,3.75,0.0,0.0,120.47625667297962,0.0,0.0,2.0234809725824507,0.0,nan,stable_crossover,True,False,1.0129026828467,1.5826112923818847,-0.7006753920062362,2.650292500598208e-09,7.058090266902406e-05,0.9999323137128878,6.530944525698098e-16
mu0,0,-1,tensor,0,3.5,0.0,0.0,127.4376231208714,0.0,0.0,2.5382648343573027,0.0,nan,stable_crossover,True,False,1.0257187423632592,1.576313777582263,-0.7311958137897596,8.392193208477421e-10,7.742100161200087e-05,nan,6.628029656775337e-16
mu0,1,0,tensor,0,3.25,0.0,0.0,134.61638852124653,0.0,0.0,3.172020247987524,0.0,nan,stable_crossover,True,False,1.043298297090402,1.572497104807322,-0.7687756141961506,1.9315484497441542e-09,9.167791393573003e-05,0.9999308678553335,7.383798421495901e-16
mu0,2,1,tensor,0,3.0,0.0,0.0,142.1466612676674,0.0,0.0,3.941600236981508,0.0,nan,stable_crossover,True,False,1.0662615710279484,1.5707799266032338,-0.8130186438172063,8.667637993207127e-15,0.0001173524061192936,0.9999304470558773,7.365098808750731e-16
mu0,3,2,tensor,0,2.75,0.0,0.0,150.23164288847676,0.0,0.0,4.860262627701062,0.0,nan,stable_crossover,True,False,1.0957427403739421,1.5706586563500666,-0.8633425629461241,3.197219227086845e-15,0.00016182882858493093,0.9999312738533908,6.717007090014138e-16
mu0,4,3,tensor,0,2.5,0.0,0.0,159.1706552660586,0.0,0.0,5.934346698940288,0.0,nan,stable_crossover,True,False,1.133692859661324,1.5715545840177012,-0.9189063796877764,6.8452294145472336e-15,0.00023871495007721696,0.9999335404435162,7.790150994080134e-16
mu0,5,4,tensor,0,2.25,0.0,0.0,169.4024471962488,0.0,0.0,7.159469110385611,0.0,nan,stable_crossover,True,False,1.183352830658618,1.572865169250847,-0.9785378121772789,4.0180518161807855e-15,0.00037282359779921756,0.9999373822476528,7.589437874236826e-16
mu0,6,5,tensor,0,2.0,0.0,0.0,181.57865082865828,0.0,0.0,8.516840662157595,0.0,nan,stable_crossover,True,False,1.2500399540066098,1.5740222592273239,-1.0406747495589082,7.353259253900575e-14,0.0006077463135111203,0.9999428423602074,6.944188902012846e-16
mu0,7,6,tensor,0,1.75,0.0,0.0,196.6963301836139,0.0,0.0,9.970572537710634,0.0,nan,stable_crossover,True,False,1.3425375288666777,1.574558430958104,-1.103342068782901,7.902685795069317e-14,0.0010147238880165508,0.9999498285909644,8.044046153700833e-16
