stride,n_phi,n_charge,mu_MeV,spinodal_low_T_MeV,spinodal_high_T_MeV,coexistence_T_MeV
4,36,31,826.0,76.20296976631444,95.4447985551085,81.99364212682922
4,36,31,830.0,75.59220333690828,95.34627927759288,81.51449447399563
4,36,31,834.0,74.98595875701959,95.2485451160467,81.03115859892189
4,36,31,838.0,74.37420781775027,95.15153240485786,80.54507603083103
4,36,31,842.0,73.75740258181862,95.05388818085075,80.05590546251975
4,36,31,846.0,73.13490054329746,94.95742039508639,79.56291067464613
4,36,31,850.0,72.50697354649907,94.86214188364383,79.06642385966397
2,71,61,598.0,103.42437531166458,103.47832185976033,103.4493018930963
2,71,61,602.0,103.11672366399713,103.25033761696973,103.17705178315673
2,71,61,606.0,102.79451841559423,103.03225005659995,102.90030630472944
2,71,61,610.0,102.46135305509794,102.82114699325619,102.61911287744567
2,71,61,614.0,102.11988028519025,102.61692540368252,102.33430458683603
2,71,61,618.0,101.77082224424703,102.41830299187127,102.04596897094878
2,71,61,622.0,101.41476518689784,102.2244908188327,101.75428669828113
2,71,61,626.0,101.04849219800565,102.03590635809798,101.45811482392605
2,71,61,630.0,100.6754870565327,101.85127348732797,101.157674455514
2,71,61,634.0,100.29651164523217,101.67085124290804,100.85354406801339
2,71,61,638.0,99.91178912900696,101.49430114658145,100.5459478836103
2,71,61,642.0,99.52161016955496,101.3209066430155,100.23499280775357
2,71,61,646.0,99.12295968351015,101.15116965320468,99.91987071240699
2,71,61,650.0,98.71852966413152,100.98477429123588,99.60077693419935
2,71,61,654.0,98.30900293393987,100.81982485027635,99.27795423233911
2,71,61,658.0,97.89448233261488,100.65872295983104,98.95147184975922
2,71,61,662.0,97.47514878023854,100.50076019774093,98.6216726626099
2,71,61,666.0,97.04877546422308,100.34324438375774,98.28790281991179
2,71,61,670.0,96.61675228724994,100.18891715330336,97.95027273755123
2,71,61,674.0,96.18004009471947,100.03784423285465,97.60899118668297
2,71,61,678.0,95.7388417179293,99.88793714385415,97.26418345305066
2,71,61,682.0,95.29312815873435,99.74008066017252,96.91586667779288
2,71,61,686.0,94.84165214032876,99.5944731534494,96.56388160139119
2,71,61,690.0,94.38409555676648,99.45125031042966,96.20791620082571
2,71,61,694.0,93.92248493611267,99.30999323621471,95.84856084638332
2,71,61,698.0,93.45641152758236,99.17070347886977,95.48550117482587
2,71,61,702.0,92.98613273102232,99.03310212677117,95.1190374452386
2,71,61,706.0,92.51082977562828,98.89731190743268,94.74887100768943
2,71,61,710.0,92.02967467614502,98.76298224967785,94.37517395201878
2,71,61,714.0,91.54435633174576,98.63084057013806,93.99755543770158
2,71,61,718.0,91.05495022484946,98.50061691280193,93.6166603739637
