sector,mode,study,N,r_cut,Re_omega,Im_omega,distance_to_shooting,pencil_residual,eigenvalue_condition,right_overlap_previous
vector,0,radial_domain,160,9.0,0.8442703087135609,-0.051583553681611403,8.250399895579093e-07,8.744550045981825e-16,nan,0.9999996893618429
vector,0,radial_domain,160,10.0,0.844270977126794,-0.05158386936995241,9.136824278478864e-08,8.259242532922222e-16,nan,0.9999990649830574
vector,0,radial_domain,160,11.0,0.8442728220637682,-0.051585763258686745,2.5526158685460227e-06,7.681922963384349e-16,nan,0.9999983451981593
vector,0,radial_domain,160,12.0,0.8442693261157438,-0.0515813463379491,3.1051599568088325e-06,6.899882889197732e-16,nan,0.9999984626540164
vector,1,radial_resolution,64,10.0,1.4219353638387822,-0.46957126815289074,0.04640174303727731,4.474848918751854e-16,nan,nan
vector,1,radial_resolution,80,10.0,1.4372158603927763,-0.42010927562264405,0.01638521988241397,4.894408690770258e-16,nan,0.9998097482913946
vector,1,radial_resolution,96,10.0,1.447835997845102,-0.42997790268117997,0.0019803972045854368,5.824581244819335e-16,nan,0.9999802145045976
vector,1,radial_resolution,112,10.0,1.448901241766654,-0.4331170981484158,0.001401988797338109,7.299451093276518e-16,nan,0.9999931141810994
vector,1,radial_resolution,128,10.0,1.4482831801493914,-0.431340425538686,0.0006229464376824182,7.655888143649969e-16,nan,0.9999965120661962
vector,1,radial_resolution,144,10.0,1.4487810726299635,-0.4316792304825115,4.166682711397135e-05,8.93207589037941e-16,nan,0.9999975296068203
vector,1,radial_resolution,160,10.0,1.4486211234064525,-0.431739370686375,0.00015662035036492636,8.193010595285552e-16,13638.916060711568,0.9999987792382624
vector,1,radial_domain,160,8.0,1.4485974491497415,-0.431995027350991,0.0003276902988140997,9.13408517455279e-16,nan,nan
vector,1,radial_domain,160,9.0,1.4483778979488906,-0.4321411769634069,0.0005794965619083029,8.155891071608501e-16,nan,0.99999960621078
vector,1,radial_domain,160,10.0,1.4486211234064525,-0.431739370686375,0.00015662035036492636,8.193010595285552e-16,nan,0.9999989517326426
vector,1,radial_domain,160,11.0,1.4499185261140466,-0.43113650126811104,0.001282647745496652,7.161550643710539e-16,nan,0.9999981393668806
vector,1,radial_domain,160,12.0,1.4470830947707358,-0.4319216799963694,0.001705416035830992,7.022592281072082e-16,nan,0.9999980992832448
vector,2,radial_resolution,64,10.0,-1.626543005311976e-14,-0.9912501962262241,0.32356965611983807,4.059707216326998e-16,nan,nan
vector,2,radial_resolution,80,10.0,-4.3485664557938717e-14,-1.0169211458191951,0.3404452469813889,5.144016146717186e-16,nan,0.9999081909001756
vector,2,radial_resolution,96,10.0,-2.2723216409921497e-13,-1.0425126958011885,0.35830969574431326,5.725944106295468e-16,nan,0.9999815168749087
vector,2,radial_resolution,112,10.0,-5.921441887491153e-14,-1.0367769758143874,0.3542234043238457,7.823029119393749e-16,nan,0.9999949791709362
vector,2,radial_resolution,128,10.0,1.2461539846464476e-12,-1.0367298722123803,0.35419003572489327,7.424533621344866e-16,nan,0.9999982697669226
vector,2,radial_resolution,144,10.0,-4.4974565582245364e-13,-1.0347747837762262,0.35280779779143734,8.308150940681135e-16,nan,0.9999988086660501
vector,2,radial_resolution,160,10.0,1.595721529156312e-12,-1.0351871687767515,0.35309890138891886,8.050291731565899e-16,66881.91877963117,0.9999993421168124
vector,2,radial_domain,160,8.0,2.505065195084397e-12,-1.036172947945397,0.3537957425988155,8.853770636126257e-16,nan,nan
vector,2,radial_domain,160,9.0,2.3917470937645584e-12,-1.0367186875338006,0.3541821128597608,8.538099061932988e-16,nan,0.9999997765306434
vector,2,radial_domain,160,10.0,1.595721529156312e-12,-1.0351871687767515,0.35309890138891886,8.050291731565899e-16,nan,0.9999991109993103
vector,2,radial_domain,160,11.0,-1.3300277858240478e-13,-1.0316930022924256,0.35064006435274203,7.514691845972294e-16,nan,0.9999984056933354
vector,2,radial_domain,160,12.0,-4.591575394138802e-13,-1.0387635536550046,0.35563354279778475,7.229345663979619e-16,nan,0.9999983609493276
singlet,0,radial_resolution,64,10.0,0.8082106755906963,-0.09560855698501859,0.06997639253972154,4.0507334237583623e-16,nan,nan
singlet,0,radial_resolution,80,10.0,0.7607029074924354,-0.11124368544501845,0.022190023710196224,5.664227853858873e-16,nan,0.999671438468906
