T_MeV,accepted_by_residual,charge_fraction,horizon_gauge_defect,hydro_D_B_hat,hydro_omega_hat_imag,linear_residual,mode,mu_MeV,omega_hat_imag,omega_hat_real,omega_numeric_imag,omega_numeric_real,optimizer_success,phi0,primitive_constraint_maximum,qhat,sector,source_determinant_abs,source_singular_value,spinodal_fraction,trajectory
98.78638526138776,True,0.42261491543124396,2.348728975344005e-20,-0.018287208635110297,0.004571802158777574,1.1914861216464155e-17,diffusion,649.9999999997624,-0.006048375904852326,-0.0,-0.003024187952426163,-0.0,True,3.251636030161261,9.768196686818356e-07,0.5,helicity0,2.2235429983560135e-13,5.02439595877821e-13,0.1,f0.10
98.78638526138776,True,0.42261491543124396,1.225253950975008e-19,-0.018287208635110297,0.006583395108639706,1.006110127324998e-17,diffusion,649.9999999997624,-0.012624230028824329,-0.0,-0.006312115014412164,-0.0,True,3.251636030161261,9.533996090596046e-07,0.6,helicity0,6.453159605722013e-14,2.132728495745531e-13,0.1,f0.10
99.9403406997832,True,0.3702295161595172,4.480708040261756e-20,-0.03895331164241223,3.895331164241224e-06,6.3053027546455684e-18,diffusion,650.0000000001171,3.892158646075351e-06,0.0,1.9460793230376755e-06,0.0,True,3.532652625782894,8.406805851825756e-07,0.01,helicity0,3.469021063256992e-12,2.09974315145139e-12,0.5,f0.50
99.9403406997832,True,0.3702295161595172,4.6397378415972415e-20,-0.03895331164241223,1.5581324656964895e-05,5.698073685128518e-18,diffusion,650.0000000001171,1.552998706489976e-05,0.0,7.76499353244988e-06,0.0,True,3.532652625782894,8.406310218897824e-07,0.02,helicity0,1.0283896806974145e-11,6.2411026027616394e-12,0.5,f0.50
99.9403406997832,True,0.3702295161595172,3.724518012279049e-20,-0.03895331164241223,3.505798047817101e-05,6.604873043415118e-18,diffusion,650.0000000001171,3.479790278171483e-05,0.0,1.7398951390857414e-05,0.0,True,3.532652625782894,8.406159693088722e-07,0.03,helicity0,2.720522041583472e-13,1.6585931390548068e-13,0.5,f0.50
99.9403406997832,True,0.3702295161595172,2.811314123366877e-20,-0.03895331164241223,9.73832791060306e-05,7.385852902138321e-18,diffusion,650.0000000001171,9.53831267703066e-05,0.0,4.76915633851533e-05,0.0,True,3.532652625782894,8.404532601926625e-07,0.05,helicity0,1.8933401340210276e-12,1.1705775903130905e-12,0.5,f0.50
99.9403406997832,True,0.3702295161595172,4.1809674004317674e-20,-0.03895331164241223,0.0002493011945114383,9.524435073453156e-18,diffusion,650.0000000001171,0.0002363274721752609,0.0,0.00011816373608763045,0.0,True,3.532652625782894,8.400839115495467e-07,0.08,helicity0,9.79047164888578e-12,6.272757678742041e-12,0.5,f0.50
99.9403406997832,True,0.3702295161595172,3.3726691386148743e-20,-0.03895331164241223,0.0005609276876507362,8.355963891022443e-18,diffusion,650.0000000001171,0.0004966280559910215,0.0,0.00024831402799551077,0.0,True,3.532652625782894,8.392870654855682e-07,0.12,helicity0,2.6499156153186716e-12,1.830154843632116e-12,0.5,f0.50
99.9403406997832,True,0.3702295161595172,6.708549821443688e-20,-0.03895331164241223,0.0009972047780457533,7.64511649771638e-18,diffusion,650.0000000001171,0.0007997464507212487,0.0,0.00039987322536062434,0.0,True,3.532652625782894,8.381446719929005e-07,0.16,helicity0,1.4180577317651714e-12,1.0856661828441277e-12,0.5,f0.50
99.9403406997832,True,0.3702295161595172,7.503251300202831e-20,-0.03895331164241223,0.0015581324656964897,1.3737556551585334e-17,diffusion,650.0000000001171,0.00109275676145603,0.0,0.000546378380728015,0.0,True,3.532652625782894,8.367729289325743e-07,0.2,helicity0,5.2191330881401e-13,4.513452806847055e-13,0.5,f0.50
