stride,mu_MeV,delta_spinodal_low_T_MeV,delta_spinodal_high_T_MeV,delta_coexistence_T_MeV
2,618.0,-0.0011972791303236363,-0.0017553030618415733,-0.0015210695838732136
2,622.0,-0.00012270045036189003,-0.0025367244825531543,-0.0009579326273438937
2,626.0,-0.0008519841919110149,-0.002562652573658397,-0.0009125859083667365
2,630.0,-0.0018388990739879318,-0.00257483511094847,-0.001252627525403227
2,634.0,-0.0020988891429567502,-0.0022578150124417107,-0.0016307019100025855
2,638.0,-0.0011716679121605011,-0.0018186694168349504,-0.0015086984999612696
2,642.0,-0.00017390730219801753,-0.0015682678641439907,-0.0011041814346555157
2,646.0,-0.0007559002465598041,-0.0010135825952204414,-0.0009938987907247565
2,650.0,-0.0016025973610709343,-0.0003240647356506088,-0.0011176369404068964
2,654.0,-0.002014086390573766,-0.001146945064633087,-0.0013391658722667898
2,658.0,-0.0011721537677260585,-0.0006971255452015157,-0.0013405820108971511
2,662.0,-0.0003035433085187833,-6.062831910469413e-05,-0.0010748490557119794
2,666.0,-0.0005597496829778947,-0.0008455648295750962,-0.001009732707231592
2,670.0,-0.00128995172603652,-0.001169195697841019,-0.0011075229230073091
2,674.0,-0.0019201646983049159,-0.0003798602298275,-0.0012697279560285324
2,678.0,-0.001147403587339113,-0.0008475077211897997,-0.0011841968568973016
2,682.0,-0.0003905760496536459,-0.0014390880934342931,-0.001034474266162988
2,686.0,-0.00021999944755179968,-0.0018809976674134532,-0.0008768278690354236
2,690.0,-0.001059947702188424,-0.0022187983894497165,-0.0010502203066096172
2,694.0,-0.0015925032108725645,-0.0019418259330592491,-0.0010480226331708309
2,698.0,-0.0011055158232267104,-0.002154664666164763,-0.0010661131177727157
2,702.0,-0.0004344955286228469,-0.0017312910426170447,-0.0009284748950761923
2,706.0,-0.0001613318494833038,-0.0017383845069076642,-0.000870204621989501
2,710.0,-0.0007175789969551261,-0.0017749439443264237,-0.0007439805421967094
2,714.0,-0.0012419145233479867,-0.001293701801458269,-0.001006239054348157
2,718.0,-0.0009008804288441752,-0.0007597129282288506,-0.0008801525498256524
2,722.0,-0.0004484635127113279,-0.0001718132749886081,-0.0008019667059784297
2,726.0,-2.9474892016878584e-05,-0.0009499438138647065,-0.0007035087808162643
2,730.0,-0.00029462486325826376,-0.0017894273864840216,-0.0008126010129814176
2,734.0,-0.0007549599121432493,-0.0012395229766042348,-0.000513067431569425
2,738.0,-0.0007201946700376993,-0.0003302199048818011,-0.0006665160639869327
2,742.0,-0.0003419567145073188,-0.00031633029243494093,-0.0007152612747631792
2,746.0,-7.770991204836264e-05,-0.0008580806093760884,-0.0006247432203849712
2,750.0,-9.294816945271123e-05,-0.001492178132536992,-0.0003477675339098596
2,754.0,-0.00018817453643293902,-0.0018612268107887076,-0.0005592199946278242
2,758.0,-0.00021430314482984159,-0.0014820094927188165,-0.0003758501711814688
2,762.0,-0.00016827635934646423,-0.0010785842778204824,-0.0003279046607218561
2,766.0,-4.0956689247195754e-05,-0.0014506619446308378,-0.00044408243856253193
2,770.0,0.00023508802352978364,-0.0014636505162712865,-0.0004917004282845028
2,774.0,0.00026529292725285814,-0.0015050487757974906,-2.250042371088057e-06
2,778.0,0.00036599044999263697,-0.0023006634159941086,-1.169014565505222e-05
2,782.0,0.0002578208600141352,-0.002094925796072289,-0.00026255585085266375
2,786.0,6.937605370183064e-05,-0.0014862949600598085,-0.00024626136415406563
2,790.0,0.0002745929021017446,-0.0010856746428942188,1.972744115619207e-05
2,794.0,0.0008629979111844932,-0.0006128822546855872,-1.9214309702419996e-05
2,798.0,0.0013507630376636826,-0.0002606755405736294,0.0002409505662939182
2,802.0,0.0008038510957248945,-0.0012033754250921902,0.00047986261627386284
2,806.0,0.00032401381993452105,-0.0019528912950335098,0.0002352370702283224
2,810.0,0.0003313011812053901,-0.00202117745341468,-0.0002125196705833332
2,814.0,0.0011961756791123435,-0.001177033310995057,0.0004318152207076764
2,818.0,0.0021885043278473404,-0.0003611057592678435,0.0010592491063050602
2,822.0,0.0018123184809155646,-0.00014856088398573775,0.0006326011279895738
2,826.0,0.0008586946071886814,-0.0006089004366884865,0.0004674656488958817
2,830.0,0.00011721450273682876,-0.0011370161391255351,0.0006761470495177946
2,834.0,0.0015703613329094424,-0.0018314245311330524,0.00086137741119785
2,838.0,0.0030835580480754743,-0.00212304151828846,0.0009413170593290943
2,842.0,0.003182730993088967,-0.0016653597253650787,0.001467096739318663
2,846.0,0.0016563640960072235,-0.0006743030825333562,0.0016175770892346009
